date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:04:46	26193/26193	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20May%202021%2019:27:15%20GMT	https://millano.elinsoft.org/	D:/offer/ahmeddd/millano.elinsoft.org/index.html	(from )
21:04:46	708/708	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Jul%202023%2018:04:34%20GMT	https://millano.elinsoft.org/robots.txt		(from )
21:04:46	175681/175681	---M-Z	200	added ('OK')	text/css	date:Mon,%2026%20Apr%202021%2015:02:40%20GMT	https://millano.elinsoft.org/assets/kits/bootstrap/css/bootstrap.min.css	D:/offer/ahmeddd/millano.elinsoft.org/assets/kits/bootstrap/css/bootstrap.min.css	(from https://millano.elinsoft.org/)
21:04:46	174333/174333	---MCZ	200	added ('OK')	text/css	etag:W/%225fa3cb41-2a8fd%22	https://cdn.mypanel.link/css/font-awesome/css/all.min.css	D:/offer/ahmeddd/cdn.mypanel.link/css/font-awesome/css/all.min.css	(from https://millano.elinsoft.org/)
21:04:46	51934/51934	---M-Z	200	added ('OK')	text/css	date:Thu,%2020%20May%202021%2019:40:44%20GMT	https://millano.elinsoft.org/assets/css/main.css	D:/offer/ahmeddd/millano.elinsoft.org/assets/css/main.css	(from https://millano.elinsoft.org/)
21:04:47	708/708	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Jul%202023%2018:04:35%20GMT	https://millano.elinsoft.org/cross.svg	D:/offer/ahmeddd/millano.elinsoft.org/cross.svg	(from https://millano.elinsoft.org/)
21:04:47	3043/3043	---M--	200	added ('OK')	image/png	date:Fri,%2007%20May%202021%2015:11:32%20GMT	https://millano.elinsoft.org/assets/img/logo.png	D:/offer/ahmeddd/millano.elinsoft.org/assets/img/logo.png	(from https://millano.elinsoft.org/)
21:04:47	28705/28705	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20May%202021%2019:24:55%20GMT	https://millano.elinsoft.org/services	D:/offer/ahmeddd/millano.elinsoft.org/services.html	(from https://millano.elinsoft.org/)
21:04:47	32509/32509	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20May%202021%2019:23:48%20GMT	https://millano.elinsoft.org/api	D:/offer/ahmeddd/millano.elinsoft.org/api.html	(from https://millano.elinsoft.org/)
21:04:47	20297/20297	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20May%202021%2019:25:01%20GMT	https://millano.elinsoft.org/signup	D:/offer/ahmeddd/millano.elinsoft.org/signup.html	(from https://millano.elinsoft.org/)
